vy:0,vw:0,vy_off:0,vw_off:-0.103627,pf:0,preal:0,dy:-3,dy2:-3
vy:0.00743504,vw:0.12172,vy_off:0.00743504,vw_off:0.0180934,pf:107.716,preal:107.961,dy:0.000762675,dy2:0.00121721
vy:0.00709137,vw:0.0868138,vy_off:0.00709137,vw_off:-0.0168132,pf:108.289,preal:108.21,dy:0.000852008,dy2:0.000843415
vy:0.00826028,vw:0.12172,vy_off:0.00826028,vw_off:0.0180934,pf:108.862,preal:108.559,dy:0.000327578,dy2:0.000823987
vy:0.00163451,vw:0.156627,vy_off:0.00163451,vw_off:0.053,pf:108.862,preal:109.007,dy:0.000980169,dy2:0.00112286
vy:0.0113199,vw:0.12172,vy_off:0.0113199,vw_off:0.0180934,pf:109.435,preal:109.356,dy:0.000977723,dy2:0.00103796
vy:0.00859275,vw:0.115126,vy_off:0.00859275,vw_off:0.011499,pf:109.435,preal:109.686,dy:0.000799938,dy2:0.00126527
vy:0.00721656,vw:0.0802194,vy_off:0.00721656,vw_off:-0.0234076,pf:110.008,preal:109.916,dy:0.000860576,dy2:0.000850507
vy:0.00832835,vw:0.115126,vy_off:0.00832835,vw_off:0.011499,pf:110.581,preal:110.245,dy:0.000194856,dy2:0.000743512
vy:2.11199e-05,vw:0.150033,vy_off:2.11199e-05,vw_off:0.0464056,pf:110.581,preal:110.675,dy:0.000896979,dy2:0.000989732
vy:0.0107699,vw:0.115126,vy_off:0.0107699,vw_off:0.011499,pf:111.154,preal:111.005,dy:0.000635789,dy2:0.00074927
vy:0.00463815,vw:0.131601,vy_off:0.00463815,vw_off:0.0279742,pf:111.154,preal:111.382,dy:0.0006916,dy2:0.00111509
vy:0.00701656,vw:0.0966946,vy_off:0.00701656,vw_off:-0.00693243,pf:111.727,preal:111.659,dy:0.000781838,dy2:0.000774423
vy:0.00743815,vw:0.119739,vy_off:0.00743815,vw_off:0.0161116,pf:112.3,preal:112.002,dy:0.00032394,dy2:0.000810627
vy:0.00181981,vw:0.154645,vy_off:0.00181981,vw_off:0.0510182,pf:112.3,preal:112.445,dy:0.000957543,dy2:0.00110045
vy:0.0109965,vw:0.119739,vy_off:0.0109965,vw_off:0.0161116,pf:112.873,preal:112.788,dy:0.000952108,dy2:0.00101653
vy:0.00837512,vw:0.11685,vy_off:0.00837512,vw_off:0.0132234,pf:112.873,preal:113.123,dy:0.000788653,dy2:0.00125302
vy:0.0071416,vw:0.0819438,vy_off:0.0071416,vw_off:-0.0216832,pf:113.446,preal:113.358,dy:0.000862362,dy2:0.000852676
vy:0.00837068,vw:0.11685,vy_off:0.00837068,vw_off:0.0132234,pf:114.019,preal:113.692,dy:0.000233929,dy2:0.000767169
vy:0.000478718,vw:0.151757,vy_off:0.000478718,vw_off:0.04813,pf:114.019,preal:114.127,dy:0.00092083,dy2:0.0010276
vy:0.0109289,vw:0.11685,vy_off:0.0109289,vw_off:0.0132234,pf:114.592,preal:114.462,dy:0.000729885,dy2:0.000828654
vy:0.00572426,vw:0.127114,vy_off:0.00572426,vw_off:0.0234872,pf:114.592,preal:114.826,dy:0.000721221,dy2:0.00115655
vy:0.00706988,vw:0.0922076,vy_off:0.00706988,vw_off:-0.0114194,pf:115.165,preal:115.09,dy:0.000803579,dy2:0.000795366
vy:0.00768448,vw:0.122372,vy_off:0.00768448,vw_off:0.0187452,pf:115.737,preal:115.441,dy:0.000336312,dy2:0.000821158
vy:0.00189983,vw:0.157279,vy_off:0.00189983,vw_off:0.0536517,pf:115.737,preal:115.891,dy:0.000977804,dy2:0.00112921
vy:0.0112176,vw:0.122372,vy_off:0.0112176,vw_off:0.0187452,pf:116.31,preal:116.242,dy:0.00102351,dy2:0.00107564
vy:0.00917131,vw:0.112755,vy_off:0.00917131,vw_off:0.00912797,pf:116.31,preal:116.565,dy:0.000810972,dy2:0.00128357
vy:0.00718796,vw:0.0778484,vy_off:0.00718796,vw_off:-0.0257786,pf:116.883,preal:116.788,dy:0.000871483,dy2:0.000860882
vy:0.00846734,vw:0.112755,vy_off:0.00846734,vw_off:0.00912797,pf:117.456,preal:117.111,dy:0.000155566,dy2:0.000719793
vy:-0.0004896,vw:0.147662,vy_off:-0.0004896,vw_off:0.0440346,pf:117.456,preal:117.534,dy:0.000871277,dy2:0.000947757
vy:0.0106034,vw:0.112755,vy_off:0.0106034,vw_off:0.00912797,pf:118.029,preal:117.857,dy:0.000521822,dy2:0.000652915
vy:0.00331541,vw:0.137193,vy_off:0.00331541,vw_off:0.0335661,pf:118.029,preal:118.25,dy:0.000655226,dy2:0.00106524
vy:0.00694802,vw:0.102286,vy_off:0.00694802,vw_off:-0.00134051,pf:118.602,preal:118.543,dy:0.000755776,dy2:0.000749179
vy:0.00714415,vw:0.116395,vy_off:0.00714415,vw_off:0.0127678,pf:119.175,preal:118.877,dy:0.000308352,dy2:0.000796191
vy:0.00171444,vw:0.151301,vy_off:0.00171444,vw_off:0.0476744,pf:119.175,preal:119.31,dy:0.000930712,dy2:0.00106343
vy:0.0107035,vw:0.116395,vy_off:0.0107035,vw_off:0.0127678,pf:119.748,preal:119.643,dy:0.00086047,dy2:0.000940113
vy:0.00735583,vw:0.122021,vy_off:0.00735583,vw_off:0.0183942,pf:119.748,preal:119.993,dy:0.0007586,dy2:0.00121341
